game_id,seed,game_length,lead_changes,control_flip_rate,connection_win_fraction,capture_events,stranded_rate,seat_balance,draw_rate,trained_vs_random,elapsed_s
p15_c1_field_flip,42,167.73,6.71,4.104575683765801,0.545,8.98,0.0,0.0,0.035,0.0,986.0198001861572
p15_c1_field_flip,43,154.67,5.22,4.240306959680364,0.725,6.485,0.0,0.29000000000000004,0.005,0.56,1001.8355798721313
p15_c1_field_flip,44,142.77,5.21,4.215125471369978,0.82,5.815,0.0,0.245,0.005,0.85,980.1240880489349
p15_c3_control_capture,42,142.185,4.34,4.218610587184261,0.82,0.145,0.0,0.125,0.0,0.77,780.6630418300629
p15_c3_control_capture,43,155.12,5.21,4.034266498159444,0.69,0.18,0.0,0.06000000000000005,0.0,0.73,820.7617688179016
p15_c3_control_capture,44,166.52,6.515,4.209860219941394,0.625,0.455,0.0,0.3,0.0,0.01,916.8836500644684
fc_probe_a0_baseline,42,59.72,5.15,5.275048304672882,1.0,3.295,0.0,0.06000000000000005,0.0,1.0,194.40424489974976
fc_probe_a0_baseline,43,62.115,5.395,5.303181094498484,1.0,3.22,0.0,0.07499999999999996,0.0,1.0,198.756413936615
fc_probe_a0_baseline,44,63.84,5.31,5.314511181172952,1.0,3.16,0.0,0.06000000000000005,0.0,0.98,200.34966921806335
fc_probe_a1_field_connect,42,70.57,6.25,10.665653545201295,0.985,0.0,0.0,0.025000000000000022,0.0,0.89,294.98290514945984
fc_probe_a1_field_connect,43,71.515,6.435,10.464548392947925,0.99,0.0,0.0,0.034999999999999976,0.0,0.88,290.672278881073
fc_probe_a1_field_connect,44,69.1,6.17,10.686793622214404,0.995,0.0,0.0,0.12,0.005,0.82,302.13571977615356
