substrate,dim,game_id,rerun_idx,sim_count,wins,losses,draws,n_games,winrate,wallclock_seconds
vicsek,1.465,1e11adebcc35,0,16,4,4,0,8,0.5000,22.6
vicsek,1.465,1e11adebcc35,0,64,5,3,0,8,0.6250,86.4
vicsek,1.465,1e11adebcc35,0,256,5,3,0,8,0.6250,333.7
vicsek,1.465,1e11adebcc35,1,16,3,5,0,8,0.3750,25.6
vicsek,1.465,1e11adebcc35,1,64,7,1,0,8,0.8750,93.6
vicsek,1.465,1e11adebcc35,1,256,6,2,0,8,0.7500,348.7
vicsek,1.465,1e11adebcc35,2,16,5,3,0,8,0.6250,24.5
vicsek,1.465,1e11adebcc35,2,64,4,4,0,8,0.5000,92.3
vicsek,1.465,1e11adebcc35,2,256,7,1,0,8,0.8750,338.9
vicsek,1.465,1e11adebcc35,3,16,3,5,0,8,0.3750,25.0
vicsek,1.465,1e11adebcc35,3,64,5,3,0,8,0.6250,85.9
vicsek,1.465,1e11adebcc35,3,256,8,0,0,8,1.0000,345.0
vicsek,1.465,1e11adebcc35,4,16,4,4,0,8,0.5000,24.5
vicsek,1.465,1e11adebcc35,4,64,4,4,0,8,0.5000,92.1
vicsek,1.465,1e11adebcc35,4,256,6,0,2,8,0.8750,356.7
triangle,1.585,558be82199a8,0,16,6,2,0,8,0.7500,25.4
triangle,1.585,558be82199a8,0,64,6,2,0,8,0.7500,94.8
triangle,1.585,558be82199a8,0,256,7,1,0,8,0.8750,360.4
triangle,1.585,558be82199a8,1,16,6,2,0,8,0.7500,27.2
triangle,1.585,558be82199a8,1,64,6,2,0,8,0.7500,95.7
triangle,1.585,558be82199a8,1,256,4,4,0,8,0.5000,362.5
triangle,1.585,558be82199a8,2,16,5,3,0,8,0.6250,24.7
triangle,1.585,558be82199a8,2,64,4,4,0,8,0.5000,91.3
triangle,1.585,558be82199a8,2,256,6,2,0,8,0.7500,347.1
triangle,1.585,558be82199a8,3,16,6,2,0,8,0.7500,25.6
triangle,1.585,558be82199a8,3,64,7,1,0,8,0.8750,95.6
triangle,1.585,558be82199a8,3,256,8,0,0,8,1.0000,346.1
triangle,1.585,558be82199a8,4,16,4,4,0,8,0.5000,26.2
triangle,1.585,558be82199a8,4,64,5,3,0,8,0.6250,97.0
triangle,1.585,558be82199a8,4,256,6,2,0,8,0.7500,369.4
carpet,1.893,8776b2026957,0,16,4,4,0,8,0.5000,2.5
carpet,1.893,8776b2026957,0,64,6,2,0,8,0.7500,9.5
carpet,1.893,8776b2026957,0,256,4,4,0,8,0.5000,41.2
carpet,1.893,8776b2026957,1,16,7,1,0,8,0.8750,3.0
carpet,1.893,8776b2026957,1,64,4,4,0,8,0.5000,10.6
carpet,1.893,8776b2026957,1,256,4,4,0,8,0.5000,46.0
carpet,1.893,8776b2026957,2,16,6,2,0,8,0.7500,2.5
carpet,1.893,8776b2026957,2,64,3,5,0,8,0.3750,10.3
