substrate,dim,game_id,rerun_idx,go_essence,strategic_depth,non_triviality,strategic_diversity,rule_simplicity,wallclock_seconds
vicsek,1.465,1e11adebcc35,0,0.001681,0.258543,0.000000,0.666667,0.260878,311.0
vicsek,1.465,1e11adebcc35,1,0.000000,0.398864,0.000000,0.666667,0.260878,312.4
vicsek,1.465,1e11adebcc35,2,0.011872,0.553111,0.346410,1.000000,0.260878,315.9
vicsek,1.465,1e11adebcc35,3,0.002400,0.296420,0.000000,0.666667,0.260878,319.1
vicsek,1.465,1e11adebcc35,4,0.002695,0.421037,0.000000,0.666667,0.260878,315.6
triangle,1.585,558be82199a8,0,0.170718,0.592123,0.666667,0.666667,0.257045,378.0
triangle,1.585,558be82199a8,1,0.105133,0.531580,1.000000,0.333333,0.257045,432.8
triangle,1.585,558be82199a8,2,0.033290,0.583605,0.666667,0.000000,0.257045,372.1
triangle,1.585,558be82199a8,3,0.081253,0.545531,0.666667,0.333333,0.257045,378.3
triangle,1.585,558be82199a8,4,0.040373,0.543556,0.333333,0.333333,0.257045,375.4
carpet,1.893,8776b2026957,0,0.079155,0.738000,0.986577,0.333333,0.257045,123.8
carpet,1.893,8776b2026957,1,0.019587,0.684222,0.565685,0.666667,0.257045,120.7
carpet,1.893,8776b2026957,2,0.205970,0.679037,0.544331,1.000000,0.257045,121.5
carpet,1.893,8776b2026957,3,0.045081,0.641778,0.662207,0.000000,0.257045,130.6
carpet,1.893,8776b2026957,4,0.073704,0.711704,0.333333,0.666667,0.257045,122.3
grid,2.0,ab7270a81cd6,0,0.000000,0.074074,0.000000,0.000000,0.269684,67.5
grid,2.0,ab7270a81cd6,1,0.002024,0.074074,0.000000,0.000000,0.269684,183.6
grid,2.0,ab7270a81cd6,2,0.000675,0.074074,0.000000,0.000000,0.269684,96.4
grid,2.0,ab7270a81cd6,3,0.003973,0.305827,0.000000,0.666667,0.269684,143.7
grid,2.0,ab7270a81cd6,4,0.004183,0.336420,0.000000,0.666667,0.269684,135.6
menger,2.727,0f5e931fa3e1,0,0.251498,0.740642,0.993311,1.000000,0.260878,220.3
menger,2.727,0f5e931fa3e1,1,0.106659,0.779333,0.662207,1.000000,0.260878,219.3
menger,2.727,0f5e931fa3e1,2,0.279835,0.732519,0.979796,0.666667,0.260878,220.3
menger,2.727,0f5e931fa3e1,3,0.071580,0.736790,0.331104,1.000000,0.260878,255.4
menger,2.727,0f5e931fa3e1,4,0.212031,0.753556,1.000000,1.000000,0.260878,220.9
