substrate,dim,game_id,generation,n_runs,stored_ge,rescued_ge,delta,ratio,depth_orig,depth_resc,tvr_orig,tvr_resc,rescuable
vicsek,1.465,02010fa1c555,5,3,0.000321,0.000321,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,0626bb999f87,2,3,0.000143,0.000143,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,08715a002a3f,3,3,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
vicsek,1.465,0db282079c4d,6,6,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
vicsek,1.465,13d9dffa486c,3,3,0.000000,0.000000,+0.000000,1.0000,0.5663,0.5663,0.7400,0.7400,0
vicsek,1.465,145457897d5d,5,3,0.000428,0.000428,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,1c297c1ec81a,2,3,0.000000,0.000000,+0.000000,1.0000,0.5327,0.5327,1.0000,1.0000,0
vicsek,1.465,1e11adebcc35,7,12,0.052520,0.005050,-0.047470,0.0962,0.7919,0.4426,0.9400,0.4517,1
vicsek,1.465,1fa74d827eac,1,3,0.000217,0.000217,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,2087b73ce0c2,6,3,0.000000,0.000000,+0.000000,1.0000,0.5856,0.5856,0.6000,0.6000,0
vicsek,1.465,2704ae892450,5,3,0.000428,0.000428,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,2bdbc09364ba,4,3,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
vicsek,1.465,2f904cdf7c43,7,3,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
vicsek,1.465,3538e3b7d507,3,12,0.000321,0.000321,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,37c5fa164808,7,3,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
vicsek,1.465,3e33876ea5b5,2,3,0.000229,0.000229,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,405a51be3584,6,3,0.000254,0.000254,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,46f8c1c84ce1,4,3,0.000298,0.000298,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,1
vicsek,1.465,47057b4d8a77,2,3,0.000000,0.000000,+0.000000,1.0000,0.0741,0.0741,0.0000,0.0000,0
