substrate,game_id,rerun_idx,go_essence,strategic_depth,non_triviality,strategic_diversity,rule_simplicity,wallclock_seconds,original_ge
carpet,2c735c592631,0,0.015105,0.661136,0.384900,0.666667,0.253521,160.6,0.133307
carpet,2c735c592631,1,0.149607,0.577802,0.683130,1.000000,0.253521,150.3,0.133307
carpet,2c735c592631,2,0.007187,0.507975,0.000000,0.666667,0.253521,144.2,0.133307
carpet,2c735c592631,3,0.218539,0.740099,0.625389,0.666667,0.253521,157.4,0.133307
carpet,2c735c592631,4,0.035109,0.763235,0.384900,0.666667,0.253521,148.9,0.133307
carpet,2c735c592631,5,0.012616,0.534173,0.163299,1.000000,0.253521,147.6,0.133307
carpet,2c735c592631,6,0.009910,0.553358,0.076980,0.666667,0.253521,155.9,0.133307
carpet,2c735c592631,7,0.002823,0.446296,0.000000,0.666667,0.253521,152.1,0.133307
carpet,2c735c592631,8,0.018540,0.621852,0.266667,1.000000,0.253521,148.7,0.133307
carpet,2c735c592631,9,0.004577,0.484148,0.000000,0.666667,0.253521,148.7,0.133307
carpet,2c735c592631,10,0.003059,0.384716,0.000000,0.666667,0.253521,137.3,0.133307
carpet,2c735c592631,11,0.012101,0.426889,0.153960,1.000000,0.253521,146.7,0.133307
carpet,2c735c592631,12,0.003244,0.288741,0.000000,0.666667,0.253521,140.0,0.133307
carpet,2c735c592631,13,0.028355,0.570617,0.277555,1.000000,0.253521,146.9,0.133307
carpet,2c735c592631,14,0.009615,0.290296,0.258199,1.000000,0.253521,145.8,0.133307
carpet,2c735c592631,15,0.002474,0.256123,0.000000,0.666667,0.253521,138.8,0.133307
carpet,2c735c592631,16,0.003147,0.396173,0.000000,0.666667,0.253521,137.3,0.133307
carpet,2c735c592631,17,0.028820,0.600494,0.377124,0.666667,0.253521,149.1,0.133307
carpet,2c735c592631,18,0.003632,0.259506,0.000000,0.666667,0.253521,139.3,0.133307
carpet,2c735c592631,19,0.002554,0.197160,0.000000,0.666667,0.253521,140.8,0.133307
carpet,5c79329a9ddd,0,0.001668,0.374321,0.000000,0.000000,0.253521,139.9,0.016020
carpet,5c79329a9ddd,1,0.000333,0.074074,0.000000,0.000000,0.253521,136.9,0.016020
carpet,5c79329a9ddd,2,0.004068,0.364691,0.000000,0.666667,0.253521,136.3,0.016020
carpet,5c79329a9ddd,3,0.006158,0.485679,0.000000,1.000000,0.253521,139.5,0.016020
carpet,5c79329a9ddd,4,0.032526,0.629136,0.442217,0.000000,0.253521,148.9,0.016020
carpet,5c79329a9ddd,5,0.002199,0.464444,0.000000,0.666667,0.253521,146.6,0.016020
carpet,5c79329a9ddd,6,0.002255,0.199012,0.000000,0.666667,0.253521,137.8,0.016020
carpet,5c79329a9ddd,7,0.002298,0.486222,0.000000,0.666667,0.253521,140.8,0.016020
carpet,5c79329a9ddd,8,0.199040,0.665457,0.702377,1.000000,0.253521,144.2,0.016020
carpet,5c79329a9ddd,9,0.026915,0.575506,0.516398,0.000000,0.253521,138.3,0.016020
carpet,5c79329a9ddd,10,0.024017,0.392840,0.163299,0.333333,0.253521,138.6,0.016020
carpet,5c79329a9ddd,11,0.002052,0.320593,0.000000,0.666667,0.253521,135.8,0.016020
carpet,5c79329a9ddd,12,0.001951,0.133086,0.000000,0.666667,0.253521,137.2,0.016020
carpet,5c79329a9ddd,13,0.001917,0.451728,0.000000,1.000000,0.253521,136.0,0.016020
