substrate,game_id,rerun_idx,go_essence,strategic_depth,non_triviality,strategic_diversity,rule_simplicity,wallclock_seconds,original_ge
grid,283129d9fffe,0,0.002341,0.365679,0.000000,0.666667,0.257045,95.7,0.001579
grid,283129d9fffe,1,0.001170,0.074074,0.000000,0.000000,0.257045,95.3,0.001579
grid,283129d9fffe,2,0.004827,0.433654,0.000000,0.666667,0.257045,102.5,0.001579
grid,283129d9fffe,3,0.003246,0.407185,0.000000,0.666667,0.257045,105.4,0.001579
grid,283129d9fffe,4,0.000439,0.074074,0.000000,0.000000,0.257045,81.4,0.001579
grid,283129d9fffe,5,0.001176,0.412963,0.000000,0.666667,0.257045,76.4,0.001579
grid,283129d9fffe,6,0.031839,0.516346,0.565685,0.666667,0.257045,98.0,0.001579
grid,283129d9fffe,7,0.005905,0.465556,0.000000,0.666667,0.257045,93.5,0.001579
grid,283129d9fffe,8,0.004059,0.425037,0.000000,0.666667,0.257045,102.6,0.001579
grid,283129d9fffe,9,0.000747,0.074074,0.000000,0.000000,0.257045,85.3,0.001579
grid,283129d9fffe,10,0.000501,0.074074,0.000000,0.000000,0.257045,101.0,0.001579
grid,283129d9fffe,11,0.000952,0.074074,0.000000,0.000000,0.257045,74.0,0.001579
grid,283129d9fffe,12,0.004114,0.367309,0.000000,0.666667,0.257045,94.2,0.001579
grid,283129d9fffe,13,0.003329,0.418123,0.000000,0.666667,0.257045,97.7,0.001579
grid,283129d9fffe,14,0.000000,0.415062,0.000000,0.666667,0.257045,82.0,0.001579
grid,283129d9fffe,15,0.001799,0.404765,0.000000,0.666667,0.257045,74.6,0.001579
grid,283129d9fffe,16,0.003461,0.360247,0.000000,0.666667,0.257045,83.3,0.001579
grid,283129d9fffe,17,0.001386,0.286444,0.000000,0.666667,0.257045,86.6,0.001579
grid,283129d9fffe,18,0.000207,0.074074,0.000000,0.000000,0.257045,54.6,0.001579
grid,283129d9fffe,19,0.015965,0.527556,0.553775,0.666667,0.257045,84.0,0.001579
grid,573562833174,0,0.002669,0.374346,0.000000,0.666667,0.265070,225.5,0.002744
grid,573562833174,1,0.000000,0.074074,0.000000,0.000000,0.265070,89.7,0.002744
grid,573562833174,2,0.008564,0.504420,0.000000,1.000000,0.265070,185.0,0.002744
grid,573562833174,3,0.000671,0.074074,0.000000,0.000000,0.265070,138.8,0.002744
grid,573562833174,4,0.001341,0.074074,0.000000,0.000000,0.265070,180.6,0.002744
grid,573562833174,5,0.002727,0.427407,0.000000,0.666667,0.265070,139.6,0.002744
grid,573562833174,6,0.000966,0.074074,0.000000,0.000000,0.265070,184.2,0.002744
grid,573562833174,7,0.000671,0.074074,0.000000,0.000000,0.265070,134.1,0.002744
grid,573562833174,8,0.005448,0.426914,0.000000,0.666667,0.265070,176.1,0.002744
grid,573562833174,9,0.000000,0.074074,0.000000,0.000000,0.265070,92.2,0.002744
grid,573562833174,10,0.003760,0.350296,0.000000,0.666667,0.265070,234.2,0.002744
grid,573562833174,11,0.004041,0.313210,0.000000,0.666667,0.265070,181.4,0.002744
grid,573562833174,12,0.002405,0.374988,0.000000,0.666667,0.265070,140.4,0.002744
grid,573562833174,13,0.003622,0.279827,0.000000,0.666667,0.265070,191.9,0.002744
grid,573562833174,14,0.000671,0.074074,0.000000,0.000000,0.265070,138.3,0.002744
grid,573562833174,15,0.002262,0.351926,0.000000,0.666667,0.265070,138.5,0.002744
grid,573562833174,16,0.000000,0.074074,0.000000,0.000000,0.265070,92.2,0.002744
grid,573562833174,17,0.000671,0.074074,0.000000,0.000000,0.265070,137.7,0.002744
grid,573562833174,18,0.000671,0.074074,0.000000,0.000000,0.265070,130.0,0.002744
grid,573562833174,19,0.000000,0.074074,0.000000,0.000000,0.265070,91.3,0.002744
grid,b12ff78f1c1d,0,0.142742,0.506864,0.648645,0.666667,0.257045,159.5,0.150311
grid,b12ff78f1c1d,1,0.023918,0.710321,0.326599,0.333333,0.257045,165.7,0.150311
grid,b12ff78f1c1d,2,0.170321,0.632593,0.666667,0.666667,0.257045,157.7,0.150311
grid,b12ff78f1c1d,3,0.096517,0.694123,0.979796,0.666667,0.257045,165.5,0.150311
grid,b12ff78f1c1d,4,0.116256,0.599901,0.657718,0.666667,0.257045,159.7,0.150311
grid,b12ff78f1c1d,5,0.066163,0.609605,0.993311,0.333333,0.257045,154.4,0.150311
grid,b12ff78f1c1d,6,0.086694,0.603654,0.662207,1.000000,0.257045,158.1,0.150311
grid,b12ff78f1c1d,7,0.069437,0.649975,0.666667,0.000000,0.257045,155.5,0.150311
grid,b12ff78f1c1d,8,0.130370,0.694123,0.662207,0.333333,0.257045,158.9,0.150311
grid,b12ff78f1c1d,9,0.056151,0.781432,0.328859,0.666667,0.257045,155.6,0.150311
grid,b12ff78f1c1d,10,0.039428,0.525185,0.993311,0.000000,0.257045,157.2,0.150311
grid,b12ff78f1c1d,11,0.133937,0.764025,0.666667,1.000000,0.257045,155.6,0.150311
grid,b12ff78f1c1d,12,0.189150,0.738198,0.666667,0.666667,0.257045,152.9,0.150311
grid,b12ff78f1c1d,13,0.122329,0.547802,0.993311,0.333333,0.257045,152.8,0.150311
grid,b12ff78f1c1d,14,0.030871,0.628049,0.317397,0.666667,0.257045,160.9,0.150311
grid,b12ff78f1c1d,15,0.206392,0.591333,1.000000,0.666667,0.257045,159.1,0.150311
grid,b12ff78f1c1d,16,0.056438,0.707407,0.657718,0.333333,0.257045,159.1,0.150311
grid,b12ff78f1c1d,17,0.087814,0.599160,0.972968,0.666667,0.257045,157.9,0.150311
grid,b12ff78f1c1d,18,0.065448,0.651210,0.333333,0.666667,0.257045,157.6,0.150311
grid,b12ff78f1c1d,19,0.080549,0.773975,0.657718,0.333333,0.257045,156.6,0.150311
grid,e7c85d3409e6,0,0.156924,0.604321,1.000000,0.666667,0.257045,259.9,0.173383
grid,e7c85d3409e6,1,0.030373,0.545457,0.333333,0.333333,0.257045,310.4,0.173383
grid,e7c85d3409e6,2,0.045720,0.529432,0.666667,0.000000,0.257045,246.5,0.173383
grid,e7c85d3409e6,3,0.050738,0.450494,0.333333,0.666667,0.257045,260.9,0.173383
grid,e7c85d3409e6,4,0.100451,0.703506,0.666667,1.000000,0.257045,258.1,0.173383
grid,e7c85d3409e6,5,0.112341,0.533111,0.666667,1.000000,0.257045,293.3,0.173383
grid,e7c85d3409e6,6,0.000000,0.531827,0.000000,0.333333,0.257045,254.4,0.173383
grid,e7c85d3409e6,7,0.000000,0.520296,0.986577,1.000000,0.257045,264.9,0.173383
grid,e7c85d3409e6,8,0.040447,0.520049,0.333333,0.333333,0.257045,250.9,0.173383
grid,e7c85d3409e6,9,0.044112,0.573975,0.333333,0.333333,0.257045,267.0,0.173383
grid,e7c85d3409e6,10,0.131092,0.508790,0.666667,0.666667,0.257045,246.7,0.173383
grid,e7c85d3409e6,11,0.021071,0.576593,0.328859,0.333333,0.257045,166.9,0.173383
grid,e7c85d3409e6,12,0.064276,0.538000,0.666667,0.333333,0.257045,263.0,0.173383
grid,e7c85d3409e6,13,0.085748,0.583457,0.666667,0.333333,0.257045,163.6,0.173383
grid,e7c85d3409e6,14,0.057914,0.502198,0.333333,0.666667,0.257045,177.7,0.173383
grid,e7c85d3409e6,15,0.130647,0.653481,0.666667,0.666667,0.257045,182.7,0.173383
grid,e7c85d3409e6,16,0.146976,0.571358,0.666667,1.000000,0.257045,177.6,0.173383
grid,e7c85d3409e6,17,0.214052,0.583432,0.993311,0.666667,0.257045,168.2,0.173383
grid,e7c85d3409e6,18,0.151614,0.626296,0.662207,0.666667,0.257045,161.5,0.173383
grid,e7c85d3409e6,19,0.188341,0.500173,0.666667,1.000000,0.257045,165.5,0.173383
grid,edb473f0872b,0,0.002383,0.371580,0.000000,0.666667,0.265070,105.9,0.002079
grid,edb473f0872b,1,0.000671,0.074074,0.000000,0.000000,0.265070,106.9,0.002079
grid,edb473f0872b,2,0.001174,0.074074,0.000000,0.000000,0.265070,133.6,0.002079
grid,edb473f0872b,3,0.008764,0.517037,0.000000,1.000000,0.265070,140.7,0.002079
grid,edb473f0872b,4,0.001458,0.186025,0.000000,0.666667,0.265070,174.1,0.002079
grid,edb473f0872b,5,0.001341,0.074074,0.000000,0.000000,0.265070,143.8,0.002079
grid,edb473f0872b,6,0.004524,0.298272,0.000000,0.666667,0.265070,178.6,0.002079
grid,edb473f0872b,7,0.010121,0.534198,0.000000,0.666667,0.265070,185.2,0.002079
grid,edb473f0872b,8,0.008516,0.501457,0.000000,1.000000,0.265070,224.6,0.002079
grid,edb473f0872b,9,0.007603,0.444420,0.000000,1.000000,0.265070,226.6,0.002079
grid,edb473f0872b,10,0.005118,0.400049,0.000000,0.666667,0.265070,229.1,0.002079
grid,edb473f0872b,11,0.007657,0.398963,0.000000,0.666667,0.265070,274.0,0.002079
grid,edb473f0872b,12,0.002288,0.175012,0.000000,0.666667,0.265070,215.8,0.002079
grid,edb473f0872b,13,0.004328,0.369457,0.000000,0.666667,0.265070,154.7,0.002079
grid,edb473f0872b,14,0.000671,0.074074,0.000000,0.000000,0.265070,106.9,0.002079
grid,edb473f0872b,15,0.009685,0.510000,0.000000,0.666667,0.265070,178.8,0.002079
grid,edb473f0872b,16,0.001399,0.074074,0.000000,0.000000,0.265070,179.0,0.002079
grid,edb473f0872b,17,0.004378,0.354889,0.000000,0.666667,0.265070,143.9,0.002079
grid,edb473f0872b,18,0.001341,0.074074,0.000000,0.000000,0.265070,157.9,0.002079
grid,edb473f0872b,19,0.005845,0.551802,0.000000,0.666667,0.265070,140.3,0.002079
