section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
stage0,,8f0b56942db92c12,connection,,nan,100,0.197207,17.04,False,draw_majority
stage0,,6619e90b4de28f04,connection,,0.132982,100,0.312462,61.48,True,
stage0,,da984f40e4794703,connection,,0.063450,100,0.109365,15.25,False,draw_majority
stage0,,8d27ce5c65a92d39,connection,,0.124387,100,0.257226,54.39,True,
stage0,,b8167ee897d4b502,territory,,nan,100,0.075417,47.41,False,draw_majority
stage0,,52df486602418883,territory,,0.133435,100,0.395689,41.68,True,
stage0,,c69577b8cb585ab9,connection,,0.073767,100,0.223613,23.89,False,draw_majority
stage0,,2343e89a544b9a7f,territory,,0.142542,100,0.196323,38.89,False,draw_majority
stage0,,ad6c2cc6aecb177a,territory,,0.136456,100,0.609385,69.56,False,draw_majority
stage0,,eb58531db6f1eb42,threshold,,0.064499,100,0.272076,35.55,True,
stage0,,928ff5f8b6ce6db4,territory,,0.096344,100,0.460312,44.87,True,
stage0,,b2c19d891145777c,threshold,,0.155478,100,0.339043,35.79,True,
stage0,,0a4f01b1792dc93d,territory,,0.089325,100,0.504463,79.80,True,
stage0,,23ffc8e178a23dce,threshold,,0.052757,100,0.399837,44.03,True,
stage0,,73d03d21c345e4ef,connection,,0.157525,100,0.097161,15.82,False,draw_majority
stage0,,fa5e46523510378f,connection,,0.062796,100,0.288074,37.27,True,
stage0,,0f934809699969a7,threshold,,0.068178,100,0.510036,31.28,True,
stage0,,06f86db1081da1eb,connection,,0.108485,100,0.251760,54.42,True,
stage0,,1168b371e481a950,territory,,0.179555,100,0.562349,49.48,True,
stage0,,f49fe5bdba57e255,territory,,0.067480,100,0.455136,62.49,False,draw_majority
stage0,,99081efa82cb574d,connection,,0.072080,100,0.284512,30.63,True,
stage0,,964d106c6da62ff5,connection,,0.131644,100,0.528820,34.56,True,
stage0,,089a8418aab38005,territory,,0.123888,100,0.467256,47.13,True,
stage0,,018e140715a98209,connection,,nan,100,0.026488,12.10,False,draw_majority
stage0,,d8351927a7c51c1b,threshold,,0.047310,100,0.350939,43.09,True,
stage0,,2fb8a74d63f1547a,connection,,nan,100,0.034212,12.68,False,draw_majority
stage0,,f10f214121f331b4,threshold,,0.067301,100,0.301765,41.94,True,
stage0,,8464c6f9211936d2,threshold,,nan,100,0.000000,2.00,False,draw_majority
stage0,,935b4af9cbda3c29,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,0c9ba52c0c1fc569,connection,,0.066680,100,0.202731,29.92,True,
stage0,,2e3d376941c95637,connection,,0.096226,100,0.261138,56.51,True,
stage0,,8c1ffd71cb061d01,connection,,0.195579,100,0.401956,18.41,False,draw_majority
stage0,,98094e900a746d64,connection,,0.096841,100,0.326018,31.17,True,
stage0,,df5831ec839e7276,threshold,,0.138198,100,0.428659,33.90,False,draw_majority
stage0,,af78c7815495e100,threshold,,0.039258,100,0.161437,21.08,True,
stage0,,bb90108650b29386,connection,,0.149596,100,0.279377,55.15,True,
stage0,,381ecb7249616073,territory,,0.097945,100,0.588148,49.63,True,
stage0,,af85aa14d9208d2a,threshold,,0.044841,100,0.158682,18.89,True,
stage0,,2b23bb30e8f3857b,connection,,0.049755,100,0.155829,25.32,True,
stage0,,685fe321225a41b0,threshold,,0.040333,100,0.343892,59.49,True,
stage0,,c550e398e8239bea,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,8055864700cc14fa,elimination,,0.000000,100,0.000000,1.03,False,too_short
stage0,,9cf1c5574e8d8364,territory,,0.210849,100,0.189841,35.54,False,draw_majority
stage0,,f5e0445c30fcde52,threshold,,0.042273,100,0.279338,42.13,True,
stage0,,8106435a7dbea265,connection,,0.148543,100,0.578476,49.37,True,
stage0,,41000dc763809001,threshold,,0.093381,100,0.240888,50.39,False,draw_majority
stage0,,77813d9218912cc9,threshold,,0.099125,100,0.548613,36.01,True,
stage0,,a0a226a5a7dda55f,elimination,,0.000000,100,0.000000,1.02,False,too_short
stage0,,46238a27ff3335b0,threshold,,0.036631,100,0.389106,51.72,True,
stage0,,6f73bb46550f428a,threshold,,0.169615,100,0.555187,32.26,True,
stage0,,8456ca5db639c8cc,connection,,0.091378,100,0.319540,36.46,True,
stage0,,135d9f02718310b2,territory,,0.088713,100,0.560992,78.25,True,
stage0,,47eef4f3f1e55537,territory,,0.129563,100,0.614261,87.05,True,
stage0,,d2e094d48ffefb74,connection,,0.094123,100,0.175950,44.62,True,
stage0,,06f7eb14aeaec095,territory,,nan,100,0.000000,2.00,False,draw_majority
stage0,,aebb86073bac150b,connection,,0.070862,100,0.147624,43.90,True,
stage0,,e13773c3e11d6074,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,b83965dd85514917,connection,,nan,100,0.282409,19.06,False,draw_majority
stage0,,6adc89b3e08389af,threshold,,0.066631,100,0.554255,38.63,True,
stage0,,2118d4e8d6ae3c2b,connection,,0.121735,100,0.299254,42.65,True,
stage0,,96ad47d5335d362c,connection,,0.101325,100,0.279564,69.93,True,
stage0,,0a52a5ba3ef25c15,territory,,0.198106,100,0.208945,60.18,True,
stage0,,6a2bb5aa9554e831,threshold,,0.072278,100,0.257008,55.85,True,
