section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
stage0,,67448572cca7e790,connection,,0.102665,100,0.508386,32.48,True,
stage0,,950ca6f50a59c548,territory,,0.057645,100,0.395303,47.30,True,
stage0,,1d60f5e33c81e1d0,territory,,0.125144,100,0.466287,63.01,True,
stage0,,c9ee64b33f3da9e7,connection,,0.067917,100,0.235524,44.22,True,
stage0,,a56c48eb9117abf4,connection,,0.107007,100,0.582939,38.55,True,
stage0,,111451e278b32df6,connection,,0.055641,100,0.199824,57.77,True,
stage0,,16eeb5a35b9b4da3,connection,,0.032634,100,0.057019,38.49,True,
stage0,,1d7150ed442bb551,territory,,0.056379,100,0.408179,49.46,True,
stage0,,21df7abe72c18f31,threshold,,0.048662,100,0.576379,77.67,False,draw_majority
stage0,,f20c1ff9363cc9e9,threshold,,0.024505,100,0.167471,23.39,False,draw_majority
stage0,,33b6da84ade99eda,connection,,0.159524,100,0.262708,53.71,True,
stage0,,5bf227fe2e6de2cd,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,be3e8a5cdcc390d9,connection,,0.054882,100,0.198094,45.84,True,
stage0,,13878cc365bc6c7d,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,0098938cc5d08b4c,connection,,0.055709,100,0.161281,46.66,True,
stage0,,aefb154cdc616e8f,territory,,0.314817,100,0.379212,76.79,False,draw_majority
stage0,,a300c416015b51fe,connection,,0.056936,100,0.353776,54.00,True,
stage0,,de0d66232ee50fc1,territory,,0.082361,100,0.574852,85.12,True,
stage0,,fa6fe7d66b24cb3e,connection,,0.125383,100,0.579607,38.40,True,
stage0,,7c462d9d034f8640,territory,,0.157884,100,0.246199,55.98,True,
stage0,,20f8b41e0dfd4236,connection,,0.112107,100,0.498641,33.90,True,
stage0,,be4506959113f742,territory,,0.179303,100,0.067582,46.12,True,
stage0,,74f910438aa3a947,territory,,0.147693,100,0.584315,40.72,False,draw_majority
stage0,,bda1429c47bdecd7,connection,,0.058653,100,0.207508,59.06,True,
stage0,,88d50e685c12772a,threshold,,0.054062,100,0.183459,24.89,True,
stage0,,595f37a6f749d14c,territory,,0.258609,100,0.066282,47.27,True,
stage0,,00df512ebcc176f9,connection,,0.098261,100,0.202554,59.40,True,
stage0,,9536b46e229cf3ca,connection,,0.131198,100,0.427517,25.67,True,
stage0,,3e539b5a55d27a0f,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,da1229eed128831d,connection,,0.088439,100,0.189946,26.50,True,
stage0,,6fc28616239afda6,connection,,0.087701,100,0.525875,61.74,True,
stage0,,a06bba2ce3109dd7,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,ecddd72fe164ade6,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,0b534f3270e3f342,connection,,0.068929,100,0.667253,59.13,True,
stage0,,7d31c890f6441961,territory,,0.086316,100,0.361795,62.13,True,
stage0,,092eb79e758efb3b,connection,,0.061679,100,0.349223,38.95,True,
stage0,,3e6ffabee624bf4f,threshold,,0.095850,100,0.386976,37.30,True,
stage0,,2bd2ce2b850fc635,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,bee1ead90228c293,threshold,,0.032286,100,0.306127,27.58,True,
stage0,,ba4a43faaa4f6014,territory,,0.096241,100,0.337187,53.29,True,
stage0,,4eb23e5748f1af3b,territory,,0.086114,100,0.456382,49.61,True,
stage0,,e24427da500e6e40,connection,,0.075259,100,0.088726,13.71,False,draw_majority
stage0,,2cf17166e97955f9,connection,,0.266320,100,0.172097,39.79,False,draw_majority
stage0,,c5fa88e5a82c6b55,elimination,,nan,100,0.000000,2.00,False,draw_majority
stage0,,653122bac3dc08e7,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,50f641b1016b3f6e,connection,,0.051447,100,0.180082,26.86,True,
stage0,,efed5b2697cb987d,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,3d6c2deb4bfe997c,connection,,0.128498,100,0.260430,56.23,True,
stage0,,80d91fb596e8823b,threshold,,0.053689,100,0.188873,20.74,True,
stage0,,6e0f7ce7848ddc6d,connection,,0.111337,100,0.295506,69.47,True,
stage0,,dd070ffe1873ff20,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,08ede02ccf0e2fd0,elimination,,0.000000,100,0.000000,1.02,False,too_short
stage0,,be74ef44db163b37,threshold,,0.150161,100,0.299895,39.14,False,draw_majority
stage0,,97247d7555359dc5,connection,,0.103152,100,0.264096,55.54,True,
stage0,,fd33d52d44702580,threshold,,0.052814,100,0.323771,37.50,True,
stage0,,10f899303a480d50,territory,,0.120197,100,0.350989,41.69,False,draw_majority
stage0,,f7649b0d74314be7,threshold,,0.050175,100,0.307562,29.39,True,
stage0,,0913b1517ffe1f6e,threshold,,0.097399,100,0.349412,31.95,True,
stage0,,768c4aedcba29e6d,connection,,0.144827,100,0.626251,29.10,True,
stage0,,b603857faee89666,territory,,nan,100,0.000000,2.00,False,draw_majority
stage0,,c82c7afea706fcfb,connection,,0.070508,100,0.112210,43.17,True,
stage0,,0647222334b44e49,threshold,,0.396635,100,0.358748,41.86,False,draw_majority
