section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
stage0,,18155716c4462165,threshold,,0.009689,10,0.242906,37.60,True,
stage0,,39e67fc49bc23602,territory,,0.278061,10,0.189413,48.30,True,
stage0,,1e105a98dad00d15,threshold,,0.015479,10,0.416183,25.20,True,
stage0,,c70727512b4324b3,territory,,nan,10,0.307353,63.10,False,draw_majority
stage0,,5578e07cb11b342f,connection,,nan,10,0.019957,14.00,False,draw_majority
stage0,,7b2f05512a1bacc1,elimination,,0.000000,10,0.000000,1.00,False,too_short
stage0,,dd18c8dc46b8af06,threshold,,0.066833,10,0.399535,28.40,True,
stage0,,34043c9723e77d06,territory,,0.016129,10,0.544005,66.10,False,draw_majority
stage0,,b3e57372602b4599,connection,,0.178197,10,0.246899,40.50,True,
stage0,,ae0287f8d22b3da7,connection,,0.149668,10,0.434832,67.80,True,
stage0,,43799066e059672d,threshold,,0.054922,10,0.440497,47.10,True,
stage0,,5872debbda5e4354,threshold,,0.026868,10,0.334923,43.80,True,
stage0,,0f5d42a8ec2028b3,connection,,nan,10,0.000000,2.00,False,draw_majority
stage0,,41a5b82df4783780,threshold,,0.157310,10,0.779101,69.30,True,
stage0,,9038d57bc053659f,connection,,0.094821,10,0.439423,29.90,True,
stage0,,adbcd1bbc9f7da03,connection,,nan,10,0.203123,34.70,False,draw_majority
stage0,,a65343deca556199,threshold,,0.047021,10,0.427570,39.50,True,
stage0,,8ae34870879ab631,connection,,0.047030,10,0.205580,63.20,True,
stage0,,bc97854e45829ae0,connection,,0.065375,10,0.351743,45.60,True,
stage0,,295e308b3b740807,connection,,0.071053,10,0.316143,38.30,True,
stage0,,93349453f4f4211c,threshold,,0.086020,10,0.202138,26.30,False,draw_majority
stage0,,1c7bc538b854f511,connection,,0.151476,10,0.452065,55.10,False,draw_majority
stage0,,c2055d43ba042498,elimination,,0.000000,10,0.000000,1.00,False,too_short
stage0,,14ca694bf2edfa43,elimination,,0.000000,10,0.000000,1.00,False,too_short
final_elite,M,b3e57372602b4599,connection,3/2,0.109392,30,,,,
final_elite,M,8ae34870879ab631,connection,3/3,0.078202,30,,,,
final_elite,M,9038d57bc053659f,connection,4/1,0.112260,30,,,,
final_elite,M,bc97854e45829ae0,connection,4/2,0.079702,30,,,,
final_elite,M,ae0287f8d22b3da7,connection,4/3,0.144463,30,,,,
final_elite,M,39e67fc49bc23602,territory,2/2,0.281201,30,,,,
final_elite,M,64a1a731e596efd8,territory,4/4,0.202455,20,,,,
final_elite,M,18155716c4462165,threshold,3/1,0.041486,30,,,,
final_elite,M,dd18c8dc46b8af06,threshold,4/1,0.046249,30,,,,
final_elite,M,43799066e059672d,threshold,4/2,0.036673,30,,,,
final_elite,M,41a5b82df4783780,threshold,4/3,0.151255,30,,,,
final_elite,R,76c1fdd503a31575,connection,3/1,0.095901,20,,,,
final_elite,R,b3e57372602b4599,connection,3/2,0.109392,30,,,,
final_elite,R,e426fa25c1f945bd,connection,3/3,0.085182,30,,,,
final_elite,R,9038d57bc053659f,connection,4/1,0.112260,30,,,,
final_elite,R,bc97854e45829ae0,connection,4/2,0.079702,30,,,,
final_elite,R,ae0287f8d22b3da7,connection,4/3,0.144463,30,,,,
final_elite,R,39e67fc49bc23602,territory,2/2,0.281201,30,,,,
final_elite,R,4eea82c1c5b23092,territory,4/3,0.124278,30,,,,
final_elite,R,18155716c4462165,threshold,3/1,0.041486,30,,,,
final_elite,R,89dc630d455413fa,threshold,4/0,0.045182,20,,,,
final_elite,R,dd18c8dc46b8af06,threshold,4/1,0.046249,30,,,,
final_elite,R,43799066e059672d,threshold,4/2,0.036673,30,,,,
final_elite,R,41a5b82df4783780,threshold,4/3,0.151255,30,,,,
