section,arm,canon,family,cell,t1_raw,t1_floored,non_draw_share,mean_length,full_conv_mean_floored,n_full_conv,valid,outcome
stage0,,21e02e73648b3c47,territory,territory/3/1,0.416667,0.416667,1.0000,32.25,,,True,
stage0,,0e770f8f740b479f,threshold,threshold/4/1,0.437500,0.437500,0.9583,46.33,,,True,
stage0,,8f8f8b0e702a6738,connection,connection/4/2,0.375000,0.375000,0.8333,43.21,,,True,
stage0,,4b55d333bb254dc1,threshold,threshold/4/2,0.229167,0.229167,0.7083,58.46,,,True,
stage0,,b88d80599e472255,connection,connection/4/2,0.000000,0.000000,0.0000,66.00,,,False,draw_majority
stage0,,863fa63735d5c584,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,1c8390b27ca02f8b,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,b669d5a33178e999,territory,territory/4/3,0.000000,0.000000,0.0000,66.00,,,False,draw_majority
stage0,,8e75841788a5d6a3,territory,territory/4/3,0.291667,0.291667,0.5833,77.83,,,True,
stage0,,edc7c7e3a5442b7d,territory,territory/4/3,0.083333,0.083333,0.5000,68.46,,,True,
stage0,,e8fff1eefd9b0a29,territory,territory/4/3,0.041667,0.041667,0.0833,67.46,,,False,draw_majority
stage0,,4bb04e77e84795c9,connection,connection/3/1,0.229167,0.229167,0.7083,51.50,,,True,
stage0,,675355981b990164,connection,connection/4/1,0.000000,0.000000,0.0000,14.00,,,False,draw_majority
stage0,,70f88ca5a25cb025,connection,connection/2/0,0.000000,0.000000,0.0000,3.00,,,False,draw_majority
stage0,,9b3907e751172f49,connection,connection/3/0,0.000000,0.000000,0.0000,4.00,,,False,draw_majority
stage0,,8394a1a1060709a6,threshold,threshold/2/1,0.416667,0.416667,1.0000,25.58,,,True,
stage0,,232402b8b4d138d3,territory,territory/4/3,0.125000,0.125000,0.4167,65.42,,,False,draw_majority
stage0,,a516c40e080d2012,threshold,threshold/3/1,0.354167,0.354167,0.9583,56.42,,,True,
stage0,,a0f631631fe9f989,connection,connection/4/1,0.312500,0.312500,0.6250,48.42,,,True,
stage0,,483fd650277e86f3,connection,connection/3/2,0.312500,0.312500,0.9583,47.21,,,True,
stage0,,d673843fcb1345dc,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,f81fea618a66a8a0,connection,connection/3/1,0.416667,0.416667,1.0000,20.75,,,True,
stage0,,2a48b047cfedb14c,connection,connection/1/2,0.500000,0.500000,1.0000,31.08,,,True,
stage0,,9d5bdb9ada7fca44,threshold,threshold/3/1,-0.208333,0.000000,1.0000,36.04,,,True,
stage0,,4906b4474cade1e7,territory,territory/4/2,0.333333,0.333333,0.8333,54.17,,,True,
stage0,,8d08c9e7d51f717a,territory,territory/3/2,0.458333,0.458333,1.0000,63.54,,,True,
stage0,,f6d9a822ddf2a52f,territory,territory/4/4,0.416667,0.416667,0.8333,91.71,,,True,
stage0,,d9a6d9e34968fe66,threshold,threshold/4/2,-0.041667,0.000000,0.9167,66.88,,,True,
stage0,,fddb0b1540b47a75,territory,territory/4/2,-0.083333,0.000000,1.0000,40.75,,,True,
stage0,,59d91366237358fd,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,201cd233d831ccf7,threshold,threshold/4/1,0.000000,0.000000,0.0000,12.83,,,False,draw_majority
stage0,,6ef8c9cf561ff17e,territory,territory/4/3,0.312500,0.312500,0.6250,91.79,,,True,
stage0,,69277827ca0954f6,territory,territory/4/3,0.312500,0.312500,0.7083,88.88,,,True,
stage0,,e1e4b05919f49828,connection,connection/4/1,0.375000,0.375000,1.0000,39.71,,,True,
stage0,,3c88d7b3ba1e38e7,connection,connection/1/2,0.500000,0.500000,1.0000,28.83,,,True,
stage0,,426916192964b43a,threshold,threshold/2/1,0.375000,0.375000,1.0000,33.79,,,True,
stage0,,5dd7c4bcc17bc32c,threshold,threshold/4/3,-0.020833,0.000000,0.6250,75.04,,,True,
stage0,,4f8c94d7876a3961,threshold,threshold/4/2,0.062500,0.062500,0.1250,64.83,,,False,draw_majority
stage0,,1f5d0b892615168a,connection,connection/4/3,0.333333,0.333333,0.6667,61.58,,,True,
stage0,,3c2138753512d548,connection,connection/3/2,0.312500,0.312500,0.7917,39.83,,,True,
stage0,,090c9136829ec508,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,7a8835ca461d67d1,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,40739a07b6b03aee,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,8ef9b40f1e74d90c,territory,territory/4/3,0.208333,0.208333,0.5000,72.83,,,True,
stage0,,d56a096753543f55,territory,territory/4/1,0.166667,0.166667,0.3333,73.92,,,False,draw_majority
stage0,,9b0aad6556eb5a8e,threshold,threshold/4/1,0.000000,0.000000,0.0000,42.92,,,False,draw_majority
stage0,,5653d72143d044af,threshold,threshold/2/0,0.375000,0.375000,1.0000,23.88,,,True,
stage0,,16c070745bfea42b,territory,territory/4/3,0.395833,0.395833,0.7917,92.46,,,True,
stage0,,fd130af745a96a78,connection,connection/3/2,0.500000,0.500000,1.0000,55.17,,,True,
stage0,,d48d8d78bbfd42d3,connection,connection/4/0,0.000000,0.000000,0.0000,12.96,,,False,draw_majority
stage0,,7dbec4dc7e554e2c,connection,connection/3/3,0.229167,0.229167,0.8750,66.25,,,True,
stage0,,5febeb84c42b1a70,territory,territory/4/4,0.395833,0.395833,0.7917,98.46,,,True,
stage0,,06083810357fdc2f,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,631c5731fb29fcaa,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,3f9131f3c5c852b4,threshold,threshold/4/4,0.395833,0.395833,0.7917,95.17,,,True,
stage0,,df961519fdc15f61,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,039ef83655061a87,connection,connection/2/1,0.375000,0.375000,1.0000,9.54,,,True,
stage0,,9e59e9ddf9b36798,connection,connection/3/1,0.000000,0.000000,1.0000,22.00,,,True,
stage0,,67921d035f4bee22,connection,connection/3/2,0.312500,0.312500,0.8750,47.79,,,True,
stage0,,3dcd6f56e81dac4d,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,0d9a7cdc66cefcce,connection,connection/4/1,0.166667,0.166667,1.0000,18.50,,,True,
stage0,,b4633350109ca789,connection,connection/4/1,0.333333,0.333333,1.0000,9.25,,,True,
stage0,,4791a29c075277a7,territory,territory/3/1,0.041667,0.041667,0.0833,67.25,,,False,draw_majority
stage0,,31f8d86c83928c54,connection,connection/3/1,0.437500,0.437500,0.9583,11.62,,,True,
stage0,,705643ccd9404ffe,connection,connection/3/1,0.125000,0.125000,1.0000,26.12,,,True,
stage0,,bb5c544e11b8ce51,threshold,threshold/1/0,0.458333,0.458333,0.9167,35.42,,,True,
stage0,,50919e3c99fd87be,territory,territory/4/4,0.270833,0.270833,0.5417,87.62,,,True,
stage0,,360e46fd1c6716bb,connection,connection/4/2,0.000000,0.000000,0.0000,66.00,,,False,draw_majority
stage0,,931ebedf856b8212,connection,connection/4/1,0.125000,0.125000,0.3333,32.67,,,False,draw_majority
stage0,,d7d9871344e61e7c,connection,connection/3/2,0.375000,0.375000,0.8333,33.12,,,True,
stage0,,43db82e3798e93f0,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,f42d2ffc9126449e,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,974e8dc05a3f5e4f,threshold,threshold/3/1,-0.083333,0.000000,1.0000,36.08,,,True,
stage0,,d53760984f7c89ba,territory,territory/3/2,0.166667,0.166667,0.4167,89.92,,,False,draw_majority
stage0,,4a919b8dfe283c36,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,c1320a8c59a51b2b,territory,territory/4/2,0.375000,0.375000,1.0000,38.79,,,True,
stage0,,e435f51556cf217d,connection,connection/4/3,0.125000,0.125000,1.0000,57.21,,,True,
stage0,,b75aa1fd808badf2,territory,territory/0/0,0.000000,0.000000,0.0000,10.00,,,False,draw_majority
stage0,,35545f70627bffd6,connection,connection/4/1,0.083333,0.083333,1.0000,20.33,,,True,
stage0,,894565510c05df04,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,e4c95bcb08d9f511,connection,connection/3/1,0.208333,0.208333,1.0000,19.46,,,True,
stage0,,79a44d2f6afe2d52,connection,connection/3/1,0.458333,0.458333,1.0000,9.04,,,True,
stage0,,b61c1f5b0d19c85a,elimination,elimination/0/0,0.000000,0.000000,1.0000,1.00,,,False,too_short
stage0,,453bf5666970fbb4,threshold,threshold/4/1,-0.145833,0.000000,0.9583,36.71,,,True,
stage0,,17f579e6763e7655,connection,connection/4/1,0.375000,0.375000,1.0000,18.79,,,True,
stage0,,cd659d02f2432144,connection,connection/2/0,0.000000,0.000000,0.0000,4.12,,,False,draw_majority
